186183; 00:08:21; 200; 265.0; 11781864.0
0; 854; 258; 2748; 20437; 26956; 29841; 4106; 1; 5067; 00:11:13; 321; 265.0; 16613464.0
0; 821; 262; 2691; 19961; 26505; 30044; 1037; 1; 5512; 00:13:39; 415; 265.0; 16787008.0
0; 820; 258; 2647; 19991; 28635; 30026; 4184; 2; 4668; 00:16:53; 565; 265.0; 19079660.0
0; 906; 258; 2600; 19776; 25949; 29165; 1012; 1; 5319; 00:19:18; 655; 265.0; 19213896.0
0; 831; 258; 2396; 20119; 27349; 30005; 1230; 1; 4575; 00:21:40; 749; 265.0; 19213896.0
0; 822; 260; 2471; 20021; 26307; 29709; 1014; 2; 5382; 00:24:03; 840; 265.0; 19213896.0
0; 819; 257; 2386; 20079; 26543; 29841; 1232; 1; 5461; 00:26:27; 936; 265.0; 19213896.0
0; 822; 255; 2586; 20016; 26350; 29006; 1001; 1; 4987; 00:28:49; 1027; 265.0; 19213896.0
0; 826; 256; 2415; 20122; 27337; 29762; 1228; 2; 4652; 00:31:13; 1123; 265.0; 19213896.0
0; 818; 257; 2620; 19699; 26584; 29765; 1010; 2; 5311; 00:33:38; 1214; 265.0; 19213896.0
